"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","query","id","type"
"The i-Frame and the s-Frame: How Focusing on the Individual-Level Solutions Has Led Behavioral Public Policy Astray","Nick Chater; George Loewenstein","2022","SSRN Electronic Journal","186","True","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4046264","https://doi.org/10.2139/ssrn.4046264","","trump election cash holdings firm","https://openalex.org/W4226385226","article"
"Learning Like a State: Statecraft in the Digital Age","Marion Fourcade; Jeffrey Gordon","2020","Journal of Law and Political Economy","144","True","https://escholarship.org/content/qt3k16c24g/qt3k16c24g.pdf?t=r2cqs3","https://doi.org/10.5070/lp61150258","What does it mean to sense, see, and act like a state in the digital age? We examine the changing phenomenology, governance, and capacity of the state in the era of big data and machine learning. Our argument is threefold. First, what we call the dataist state may be less accountable than its predecessor, despite its promise of enhanced transparency and accessibility. Second, a rapid expansion of the data collection mandate is fueling a transformation in political rationality, in which data affordances increasingly drive policy strategies. Third, the turn to dataist statecraft facilitates a corporate reconstruction of the state. On the one hand, digital firms attempt to access and capitalize on data “minted” by the state. On the other hand, firms compete with the state in an effort to reinvent traditional public functions. Finally, we explore what it would mean for this dataist state to “see like a citizen” instead.","trump election cash holdings firm","https://openalex.org/W3099365458","article"
"Automation, Digitalization, and Artificial Intelligence in the Workplace: Implications for Political Behavior","Aina Gallego; Thomas Kurer","2022","Annual Review of Political Science","144","True","https://www.annualreviews.org/doi/pdf/10.1146/annurev-polisci-051120-104535","https://doi.org/10.1146/annurev-polisci-051120-104535","New technologies have been a key driver of labor market change in recent decades. There are renewed concerns that technological developments in areas such as robotics and artificial intelligence will destroy jobs and create political upheaval. This article reviews the vibrant debate about the economic consequences of recent technological change and then discusses research about how digitalization may affect political participation, vote choice, and policy preferences. It is increasingly well established that routine workers have been the main losers of recent technological change and disproportionately support populist parties. However, at the same time, digitalization also creates a large group of economic winners who support the political status quo. The mechanisms connecting technology-related workplace risks to political behavior and policy demands are less well understood. Voters may fail to fully comprehend the relative importance of different causes of structural economic change and misattribute blame to other factors. We conclude with a list of pressing research questions.","trump election cash holdings firm","https://openalex.org/W4210702181","article"
"Selling second best: how infant formula marketing works","Gerard Hastings; Kathryn Angus; Douglas Eadie; Kate Hunt","2020","Globalization and Health","134","True","https://globalizationandhealth.biomedcentral.com/track/pdf/10.1186/s12992-020-00597-w","https://doi.org/10.1186/s12992-020-00597-w","BACKGROUND: Despite the clear policy intent to contain it, the marketing of formula milk remains widespread, powerful and successful. This paper examines how it works. METHODS: The study comprised a mix of secondary analysis of business databases and qualitative interviews with marketing practitioners, some of whom had previously worked in formula marketing. RESULTS: The World Health Assembly Code aims to shield parents from unfair commercial pressures by stopping the inappropriate promotion of infant formula. In reality marketing remains widespread because some countries (e.g. the USA) have not adopted the Code, and elsewhere industry has developed follow-on and specialist milks with which they promote formula by proxy. The World Health Assembly has tried to close these loopholes by extending its Code to these products; but the marketing continues. The campaigns use emotional appeals to reach out to and build relationships with parents and especially mothers. Evocative brands give these approaches a human face. The advent of social media has made it easier to pose as the friend and supporter of parents; it is also providing companies with a rich stream of personal data with which they hone and target their campaigns. The formula industry is dominated by a small number of extremely powerful multinational corporations with the resources to buy the best global marketing expertise. Like all corporations they are governed by the fiduciary imperative which puts the pursuit of profits ahead of all other concerns. This mix of fiscal power, sophisticated marketing, and single-mindedness is causing great harm to public health. CONCLUSIONS: Formula marketing is widespread and using powerful emotional techniques to sell parents a product that is vastly inferior to breast milk. There is an urgent need to update and strengthen regulation.","trump election cash holdings firm","https://openalex.org/W3043326980","article"
"Populism, political risk, and pandemics: The challenges of political leadership for business in a post-COVID world","Christopher A. Hartwell; Timothy M. Devinney","2021","Journal of World Business","123","True","https://doi.org/10.1016/j.jwb.2021.101225","https://doi.org/10.1016/j.jwb.2021.101225","The examination of political risk, political uncertainty, and political institutions in the international business literature has, not unexpectedly, been shaped by the prevailing issues faced by firms at their time of writing. While these three separate angles together have provided an iteratively more comprehensive view of the politics and business nexus, they are still missing an important component, namely the ability of specific actors to utilize political uncertainty and generate institutional volatility. This paper examines the rise of two specific phenomena that challenge prevailing theoretical frameworks, and potentially have the ability to render our previous insights less relevant: first, the rise of populism as a persistent political force in developed economies, and second, the rapid spread and disparate political response to COVID-19. We argue that exclusively institutional-based frameworks are inadequate to cope with the political realities of the 21st century, as institutions themselves are being subverted or utilized for actions far beyond their original conception in practice and their operationalization in the IB literature (something that COVID-19 has exacerbated). Although extant IB work has much to recommend itself in helping to understand risk and uncertainty in the political sphere, these new challenges for business reveal that we need to incorporate political personalities, actors, and leaders(hip) into our research. Only then can we have a more complete picture of how politics can influence business.","trump election cash holdings firm","https://openalex.org/W3152803478","article"
"Stock Prices and the Russia-Ukraine War: Sanctions, Energy and ESG","Ming Deng; Markus Leippold; Alexander F. Wagner; Qian Wang","2022","SSRN Electronic Journal","123","True","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4080181","https://doi.org/10.2139/ssrn.4080181","","trump election cash holdings firm","https://openalex.org/W4225685912","article"
"Macroeconomic and Financial Policies for Climate Change Mitigation","Signe Krogstrup; William Oman","2019","IMF Working Paper","111","True","https://www.elibrary.imf.org/doc/IMF001/28337-9781513511955/28337-9781513511955/Other_formats/Source_PDF/28337-9781513512938.pdf","https://doi.org/10.5089/9781513511955.001","Climate change is one of the greatest challenges of this century. Mitigation requires a large-scale transition to a low-carbon economy. This paper provides an overview of the rapidly growing literature on the role of macroeconomic and financial policy tools in enabling this transition. The literature provides a menu of policy tools for mitigation. A key conclusion is that fiscal tools are first in line and central, but can and may need to be complemented by financial and monetary policy instruments. Some tools and policies raise unanswered questions about policy tool assignment and mandates, which we describe. The literature is scarce, however, on the most effective policy mix and the role of mitigation tools and goals in the overall policy framework.","trump election cash holdings firm","https://openalex.org/W4252066327","article"
"Artificial Intelligence in Cytopathology: A Neural Network to Identify Papillary Carcinoma on Thyroid Fine-Needle Aspiration Cytology Smears","Parikshit Sanyal; Tanushri Mukherjee; Sanghita Barui; Avinash Das; Prabaha Gangopadhyay","2018","Journal of Pathology Informatics","110","True","https://doi.org/10.4103/jpi.jpi_43_18","https://doi.org/10.4103/jpi.jpi_43_18","INTRODUCTION: Fine-needle aspiration cytology (FNAC) for identification of papillary carcinoma thyroid is a moderately sensitive and specific modality. The present machine learning tools can correctly classify images into broad categories. Training software for recognition of papillary thyroid carcinoma on FNAC smears will be a decisive step toward automation of cytopathology. AIM: The aim of this study is to develop an artificial neural network (ANN) for the purpose of distinguishing papillary carcinoma thyroid and nonpapillary carcinoma thyroid on microphotographs from thyroid FNAC smears. SUBJECTS AND METHODS: An ANN was developed in the Python programming language. In the training phase, 186 microphotographs from Romanowsky/Pap-stained smears of papillary carcinoma and 184 microphotographs from smears of other thyroid lesions (at ×10 and ×40 magnification) were used for training the ANN. After completion of training, performance was evaluated with a set of 174 microphotographs (66 - nonpapillary carcinoma and 21 - papillary carcinoma, each photographed at two magnifications ×10 and ×40). RESULTS: The performance characteristics and limitations of the neural network were assessed, assuming FNAC diagnosis as gold standard. Combined results from two magnifications showed good sensitivity (90.48%), moderate specificity (83.33%), and a very high negative predictive value (96.49%) and 85.06% diagnostic accuracy. However, vague papillary formations by benign follicular cells identified wrongly as papillary carcinoma remain a drawback. CONCLUSION: With further training with a diverse dataset and in conjunction with automated microscopy, the ANN has the potential to develop into an accurate image classifier for thyroid FNACs.","trump election cash holdings firm","https://openalex.org/W2902363929","article"
"Political uncertainty exposure of individual companies: The case of the Brexit referendum","Paula Hill; Adriana Korczak; Piotr Korczak","2018","Journal of Banking & Finance","99","True","https://research-information.bris.ac.uk/ws/files/180199491/HKK_brexit1_20181220.pdf","https://doi.org/10.1016/j.jbankfin.2018.12.012","","trump election cash holdings firm","https://openalex.org/W2587561580","article"
"Globalization, public sector reform, and the role of ports in international supply chains","Hercules Haralambides","2017","Maritime Economics & Logistics","91","True","https://link.springer.com/content/pdf/10.1057%2Fs41278-017-0068-6.pdf","https://doi.org/10.1057/s41278-017-0068-6","","trump election cash holdings firm","https://openalex.org/W2607162375","article"
"Laundering Cash, White Washing Reputations","Alexander Cooley; John Heathershaw; J. C. Sharman","2018","Journal of democracy","91","True","https://muse.jhu.edu/pub/1/article/683634","https://doi.org/10.1353/jod.2018.0003","Kleptocracy and grand corruption are now under scrutiny as never before. With renewed global attention on these abuses, a relatively clear picture has emerged of the domestic political economies shaped by kleptocratic rule. Analysts have shown how state institutions are set up to allow elites and their families to systematically loot, while protecting these elites politically. In particular, this research has placed under the microscope the resource-rich countries that are vulnerable to kleptocratic state capture.","trump election cash holdings firm","https://openalex.org/W2783132565","article"
"Rule by Violence, Rule by Law: Lynching, Jim Crow, and the Continuing Evolution of Voter Suppression in the U.S.","Brad Epperly; Christopher Witko; Ryan W. Strickler; Paul White","2019","Perspectives on Politics","90","True","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CBC6AD86B557A093D7E832F8D821978B/S1537592718003584a.pdf/div-class-title-rule-by-violence-rule-by-law-lynching-jim-crow-and-the-continuing-evolution-of-voter-suppression-in-the-u-s-div.pdf","https://doi.org/10.1017/s1537592718003584","Although restricting formal voting rights—voter suppression—is not uncommon in democracies, its incidence and form vary widely. Intuitively, when competing elites believe that the benefits of reducing voting by opponents outweigh the costs of voter suppression, it is more likely to occur. Internal political and state capacity and external actors, however, influence the form that voter suppression takes. When elites competing for office lack the ability to enact laws restricting voting due to limited internal capacity, or external actors are able to limit the ability of governments to use laws to suppress voting, suppression is likely to be ad hoc, decentralized, and potentially violent. As political and state capacity increase and external constraints decrease, voter suppression will shift from decentralized and potentially violent to centralized and mostly non-violent. We illustrate our arguments by analyzing the transition from decentralized, violent voter suppression through the use of lynchings (and associated violence) to the centralized, less violent suppression of black voting in the post-Reconstruction South. We also place the most recent wave of U.S. state voter suppression laws into broader context using our theoretical framework.","trump election cash holdings firm","https://openalex.org/W3083969113","article"
"Climate Regulatory Risks and Corporate Bonds","Lee Seltzer; Laura T. Starks; Qifei Zhu","2020","SSRN Electronic Journal","81","True","https://doi.org/10.2139/ssrn.3563271","https://doi.org/10.2139/ssrn.3563271","","trump election cash holdings firm","https://openalex.org/W3092048964","article"
"The New Utilities: Private Power, Social Infrastructure, and the Revival of the Public Utility Concept","K. Sabeel Rahman","2018","eYLS (Yale Law School)","81","True","https://brooklynworks.brooklaw.edu/faculty/988","","From the renewed controversies over financial regulation and the problem of too-big-to-fail (TBTF) financial firms, to the clash over the Federal Communications Commission (FCC's) ""net neutrality"" regulations on internet service providers, and more recent questions about Google, Facebook, and online platforms, we are in the midst of a larger policy and political debate about how to regulate modern-day forms of private power.Encompassing different areas of law and policy, the underlying issue in this debate is the following: how should we conceptualize and regulate new forms of concentrated private power, particularly when these firms control the terms of access to vital services-such as finance, broadband internet, or informationupon which many communities, constituencies, and economic actors depend?Drawing on historical Progressive Era concepts of private power and public utility, as","trump election cash holdings firm","https://openalex.org/W2885582588","article"
"Political Identity and Financial Risk Taking: Insights from Social Dominance Orientation","Kyuhong Han; Jihye Jung; Vikas Mittal; J. Daniel Zyung; Hajo Adam","2019","Journal of Marketing Research","79","True","https://purehost.bath.ac.uk/ws/files/204131135/JMR_16_0016_R2_Political_Identity_and_Financial_Risk_Taking_10_23_2018_.pdf","https://doi.org/10.1177/0022243718813331","This article investigates how people’s political identity is associated with their financial risk taking. The authors argue that conservatives’ financial risk taking increases as their self-efficacy increases because of their greater social dominance orientation, whereas liberals’ financial risk taking is invariant to their self-efficacy. This central hypothesis is verified in six studies using different measures of political identity, self-efficacy, and financial risk taking. The studies also use different samples of U.S. consumers, including online panels, a large-scale data set spanning five election cycles, and a secondary data set of political donations made by managers at companies. Finally, the authors articulate and demonstrate the mediating effect of individuals’ focus on the upside potential of a decision among conservatives but not liberals.","trump election cash holdings firm","https://openalex.org/W2921962300","article"
"Inequality Aversion, Populism, and the Backlash Against Globalization","Ľuboš Pástor; Pietro Veronesi","2018","SSRN Electronic Journal","77","True","https://doi.org/10.2139/ssrn.3224232","https://doi.org/10.2139/ssrn.3224232","","trump election cash holdings firm","https://openalex.org/W2885612896","article"
"The State of American Federalism 2019–2020: Polarized and Punitive Intergovernmental Relations","Greg Goelzhauser; David M. Konisky","2020","Publius The Journal of Federalism","76","True","https://academic.oup.com/publius/article-pdf/50/3/311/33522482/pjaa021.pdf","https://doi.org/10.1093/publius/pjaa021","The state of American federalism is characterized by polarization and punitiveness. As in previous years, political polarization continues to shape intergovernmental relations. But we also identify punitiveness as an increasingly prevalent aspect of vertical power sharing. Punitive federalism describes the national government's use of threats and punishment to suppress state and local actions that run contrary to its policy preferences. In this Annual Review of American Federalism overview article, we introduce the concept of punitive federalism and discuss its application to contemporary public policy. We also highlight federalism implications concerning the COVID-19 pandemic; discuss recent policy developments concerning the environment, gender identity, health care, immigration, reproductive choice, and sexual orientation; and review recent Supreme Court decisions that impact intergovernmental relations.","trump election cash holdings firm","https://openalex.org/W3041264739","article"
"Climate Regulatory Risks and Corporate Bonds","Lee Seltzer; Laura T. Starks; Qifei Zhu","2022","SSRN Electronic Journal","72","True","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4090897","https://doi.org/10.2139/ssrn.4090897","","trump election cash holdings firm","https://openalex.org/W4226258794","article"
"The changing institutions of private rental housing: an international review","Chris Martin; Kath Hulse; Hal Pawson","2018","AHURI Final Report","70","True","https://unsworks.unsw.edu.au/bitstreams/d83e237b-61d9-422b-81df-cce2dac9c6d8/download","https://doi.org/10.18408/ahuri-7112201","This research investigated the private rental sector (PRS) policy settings and institutions relevant to Australia in 10 countries in Australasia, Europe and North America, with a detailed review of the sectors in Germany, Ireland, the United Kingdom and United States.","trump election cash holdings firm","https://openalex.org/W2784528588","article"
"Uncertainty before and during COVID‐19: A survey","Efrem Castelnuovo","2022","Journal of Economic Surveys","68","True","https://www.ncbi.nlm.nih.gov/pmc/articles/9350004","https://doi.org/10.1111/joes.12515","This survey features three parts. The first one reviews the most recent literature on the relationship between domestic (i.e., country-specific) uncertainty and the business cycle, and offers ten main takeaways. The second part surveys contributions to the fast-growing strand of the literature that focuses on the macroeconomic effects of uncertainty spillovers and global uncertainty. The last part presents contributions on the role played by uncertainty during the COVID-19 pandemic.","trump election cash holdings firm","https://openalex.org/W4282984124","article"
"Exporting Uncertainty: The Impact of Brexit on Corporate America","Murillo Campello; Gustavo Cortés; Fabrício d’Almeida; Gaurav Kankanhalli","2022","Journal of Financial and Quantitative Analysis","66","True","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B48511C3F07B35E864D62A87190B0946/S0022109022000308a.pdf/div-class-title-exporting-uncertainty-the-impact-of-brexit-on-corporate-america-div.pdf","https://doi.org/10.1017/s0022109022000308","Abstract We show that the 2016 Brexit Referendum had multifaceted consequences for corporate America, shaping employment, investment, divestitures, R&amp;D, and savings. The unexpected vote outcome led U.S. firms to cut jobs and investment within U.S. borders. Using establishment-level data, we document that these effects were modulated by the reversibility of capital and labor. American-based job destruction was particularly pronounced in industries with less skilled and more unionized workers. U.K.-exposed firms with less redeployable capital and high input-offshoring dependence cut investment the most. Data on the near universe of U.S. establishments also point to measurable, negative effects on establishment turnover (openings and closings). Our results demonstrate how foreign-born political uncertainty is transmitted across international borders, shaping domestic capital formation and labor allocation.","trump election cash holdings firm","https://openalex.org/W4225809246","article"
"Is This Tax Reform, or Just Confusion?","Joel Slemrod","2018","The Journal of Economic Perspectives","65","True","https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.32.4.73","https://doi.org/10.1257/jep.32.4.73","Based on the experience of recent decades, the United States apparently musters the political will to change its tax system comprehensively about every 30 years, so it seems especially important to get it right when the chance arises. Based on the strong public statements of economists opposing and supporting the Tax Cuts and Jobs Act of 2017, a causal observer might wonder whether this law was tax reform or mere confusion. In this paper, I address that question and, more importantly, offer an assessment of the Tax Cuts and Jobs Act. The law is clearly not “tax reform” as economists usually use that term: that is, it does not seek to broaden the tax base and reduce marginal rates in a roughly revenue-neutral manner. However, the law is not just a muddle. It seeks to address some widely acknowledged issues with corporate taxation, and takes some steps toward broadening the tax base, in part by reducing the incentive to itemize deductions.","trump election cash holdings firm","https://openalex.org/W2899275327","article"
"Future directions in international financial integration research - A crowdsourced perspective","Brian M. Lucey; Samuel A. Vigne; Laura Ballester; Leonidas G. Barbopoulos; Janusz Brzeszczyński; Óscar Carchano","2017","International Review of Financial Analysis","63","True","https://research.birmingham.ac.uk/en/publications/aa6bfc5c-712a-484a-9c97-3bd9a6eeb697","https://doi.org/10.1016/j.irfa.2017.10.008","","trump election cash holdings firm","https://openalex.org/W2766489602","article"
"The Russia–China entente and its future","Artyom Lukin","2020","International Politics","63","True","https://link.springer.com/content/pdf/10.1057/s41311-020-00251-7.pdf","https://doi.org/10.1057/s41311-020-00251-7","","trump election cash holdings firm","https://openalex.org/W3035137177","article"
"Rebuilding the fortress? Europe in a changing world economy","Scott Lavery","2023","Review of International Political Economy","61","True","https://www.tandfonline.com/doi/pdf/10.1080/09692290.2023.2211281?download=true","https://doi.org/10.1080/09692290.2023.2211281","Two rival visions of Europe’s place in the world economy competed for primacy throughout the post-war era. The idea of an ‘Atlantic Europe’ promoted close economic ties to the United States and integration into the liberal international order. An alternative ‘Fortress Europe’ vision aimed to carve out a sphere of relative European autonomy backed by trade barriers and industrial protectionism. While many argued that the ‘Fortress Europe’ vision was defeated during the globalization of the 1990s and 2000s, concepts such as economic sovereignty, industrial strategy and ‘strategic autonomy’ have returned to EU circles. Is a rebuilding of ‘Fortress Europe’ taking place in this context? This paper argues that the old tension between ‘Atlantic’ and ‘Fortress’ Europe is re-emerging but in a new form and under a new set of international conditions. A ‘selective fortification’ of European industrial strategy and trade policy is taking shape, as EU policymakers develop targeted instruments and institutional capacities that aim to insulate European firms from new patterns of international competition. The selective refortification of European capitalism has implications for debates within international political economy (IPE) on the future of liberal international order, new patterns of competitive regionalization, and the restructuring of the relation between the state and global capitalism.","trump election cash holdings firm","https://openalex.org/W4381732847","article"
"Climate Change-Related Regulatory Risks and Bank Lending","Isabella Mueller; Eleonora Sfrappini","2022","SSRN Electronic Journal","60","True","https://doi.org/10.2139/ssrn.4144358","https://doi.org/10.2139/ssrn.4144358","","trump election cash holdings firm","https://openalex.org/W4285301233","article"
