"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","citing_anchor","id","type"
"Pricing Climate Change Exposure","Zacharias Sautner; Laurence van Lent; Grigory Vilkov; Ruishen Zhang","2023","Management Science","253","False","","https://doi.org/10.1287/mnsc.2023.4686","We estimate the risk premium for firm-level climate change exposure among S&amp;P 500 stocks and its time-series evolution between 2005 to 2020. Exposure reflects the attention paid by market participants in earnings calls to a firm’s climate-related risks and opportunities. When extracted from realized returns, the unconditional risk premium is insignificant but exhibits a period with a positive risk premium before the financial crisis and a steady increase thereafter. Forward-looking expected return proxies deliver an unconditionally positive risk premium with maximum values of 0.5%–1% p.a., depending on the proxy, between 2011 and 2014. The risk premium has been lower since 2015, especially when the expected return proxy explicitly accounts for the higher opportunities and lower crash risks that characterize high-exposure stocks. This finding arises as the priced part of the risk premium primarily originates from uncertainty about climate-related upside opportunities. In the time series, the risk premium is negatively associated with green innovation; Big Three holdings; and environmental, social, and governance fund flows and positively associated with climate change adaptation programs. This paper was accepted by Colin Mayer, Special Section of Management Science on Business and Climate Change. Funding: Funding is provided by the Deutsche Forschungsgemeinschaft [Grant 403041268 – TRR 266] (L. van Lent and R. Zhang), the Institute for New Economic Thinking (L. van Lent), the 111 Project [Grant B18033] (R. Zhang), the Shanghai Pujiang Program (R. Zhang), and the Ministry of Education Project of Key Research Institute of Humanities and Social Science (R. Zhang). Supplemental Material: The online appendix and data are available at https://doi.org/10.1287/mnsc.2023.4686 .","Hassan2019_PRisk","https://openalex.org/W4376287019","article"
"Cybersecurity Risk","Chris Florackis; Christodoulos Louca; Roni Michaely; Michael Weber","2022","Review of Financial Studies","251","True","https://hdl.handle.net/20.500.14279/30934","https://doi.org/10.1093/rfs/hhac024","Abstract Based on textual analysis and a comparison of cybersecurity risk disclosures of firms that were hacked to others that were not, we propose a novel firm-level measure of cybersecurity risk for all U.S.-listed firms. We then examine whether cybersecurity risk is priced in the cross-section of stock returns. Portfolios of firms with high exposure to cybersecurity risk outperform other firms, on average, by up to 8.3$\%$ per year. Yet, high-exposure firms perform poorly in periods of high cybersecurity risk. Reassuringly, the measure is higher in information-technology industries, correlates with characteristics linked to firms hit by cyberattacks, and predicts future cyberattacks. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online","Hassan2019_PRisk","https://openalex.org/W4285128587","article"
"Institutional investors' horizons and corporate employment decisions","Mohamed Ghaly; Viet Anh Dang; Konstantinos Stathopoulos","2020","Journal of Corporate Finance","240","True","https://research.manchester.ac.uk/en/publications/7eeb397a-54b5-4360-9385-110c83b91972","https://doi.org/10.1016/j.jcorpfin.2020.101634","","Hassan2019_PRisk","https://openalex.org/W3123632618","article"
"Greenhouse Gas Disclosure and Emissions Benchmarking","Sorabh Tomar","2023","Journal of Accounting Research","222","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1475-679X.12473?download=true","https://doi.org/10.1111/1475-679x.12473","ABSTRACT I examine the effects of the U.S. Greenhouse Gas (GHG) Reporting Program, which requires thousands of industrial facilities to measure and report their GHG emissions. I show that facilities reduce their GHG emissions by 7.9% following the disclosure of emissions data. The evidence indicates that benchmarking—whereby facilities use the disclosures of their peers to assess their own relative GHG performance—spurs emission reductions. Firms' concerns about future legislation appear to motivate this behavior and measurement alone (without disclosure) seems not to reduce emissions. My study highlights how mandatory GHG disclosure can create real effects for peers.","Hassan2019_PRisk","https://openalex.org/W4318992452","article"
"The pandemic and economic policy uncertainty","Saud Asaad Althaqeb; Barrak Ghanim Algharabali; Khaled Tareq Alabdulghafour","2020","International Journal of Finance & Economics","220","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.2298","https://doi.org/10.1002/ijfe.2298","Abstract The events that occurred after the worldwide diffusion of COVID‐19 provide a real‐life example of how uncertainty can severely affect the global economy. This paper reviews literature on the negative impacts of the economic policy uncertainty index (EPU) on individuals, businesses, governments, and economies at the local and international levels. This reveals that a high EPU is associated with adverse effects on households, corporations, and governments, which tend to delay many financial decisions under high uncertainty, which leads to lower consumption, fewer issuances of debt, fewer investments, and higher unemployment. The effects of political and regulatory uncertainty also extend to the commodity markets, such as the adverse effects on both oil and gasoline markets, and can potentially create adverse impacts on the crypto‐currency market and its potential growth. We demonstrate that governmental uncertainty also affects financial, housing, and equity markets; debt issuances; and the entire economy. This underscores the importance of considering EPU as a risk factor. The association with several components of the global economy reflects not only the EPU index's critical influence, but also the importance of risk management. Our results lead us to consider the gravity of economic policy uncertainty and call for innovation across different sectors to mitigate its adverse effects.","Hassan2019_PRisk","https://openalex.org/W3092265333","article"
"Measuring Geopolitical Risk","Dario Caldara; Matteo Iacoviello","2022","International Finance Discussion Paper","206","True","https://doi.org/10.17016/ifdp.2018.1222r1","https://doi.org/10.17016/ifdp.2018.1222r1","&amp;amp;lt;ns2:p&amp;amp;gt;We present a news-based measure of adverse geopolitical events and associated risks. The geopolitical risk (GPR) index spikes around the two world wars, at the beginning of the Korean War, during the Cuban Missile Crisis, and after 9/11. Higher geopolitical risk foreshadows lower investment and employment and is associated with higher disaster probability and larger downside risks. The adverse consequences of the GPR index are driven by both the threat and the realization of adverse geopolitical events. We complement our aggregate measures with industry- and firm-level indicators of geopolitical risk. Investment drops more in industries that are exposed to aggregate geopolitical risk. Higher firm-level geopolitical risk is associated with lower firm-level investment.&amp;amp;lt;/ns2:p&amp;amp;gt;","Hassan2019_PRisk","https://openalex.org/W3122534180","article"
"Textual Analysis in Accounting: What's Next?*","Khrystyna Bochkay; Stephen Brown; Andrew J. Leone; Jennifer Wu Tucker","2022","Contemporary Accounting Research","201","True","https://doi.org/10.1111/1911-3846.12825","https://doi.org/10.1111/1911-3846.12825","ABSTRACT Natural language is a key form of business communication. Textual analysis is the application of natural language processing (NLP) to textual data for automated information extraction or measurement. We survey publications in top accounting journals and describe the trend and current state of textual analysis in accounting. We organize available NLP methods in a unified framework. Accounting researchers have often used textual analysis to measure disclosure sentiment, readability, and disclosure quantity; to compare disclosures to determine similarities or differences; to identify forward‐looking information; and to detect themes. For each of these tasks, we explain the conventional approach and newer approaches, which are based on machine learning, especially deep learning. We discuss how to establish the construct validity of text‐based measures and the typical decisions researchers face in implementing NLP models. Finally, we discuss opportunities for future research. We conclude that (i) textual analysis has grown as an important research method and (ii) accounting researchers should increase their knowledge and use of machine learning, especially deep learning, for textual analysis.","Hassan2019_PRisk","https://openalex.org/W4296232960","article"
"Intelligent financial fraud detection practices in post-pandemic era","Xiaoqian Zhu; Xiang Ao; Zidi Qin; Yanpeng Chang; Yang Liu; Qing He","2021","The Innovation","180","True","http://www.cell.com/article/S2666675821001016/pdf","https://doi.org/10.1016/j.xinn.2021.100176","The great losses caused by financial fraud have attracted continuous attention from academia, industry, and regulatory agencies. More concerning, the ongoing coronavirus pandemic (COVID-19) unexpectedly shocks the global financial system and accelerates the use of digital financial services, which brings new challenges in effective financial fraud detection. This paper provides a comprehensive overview of intelligent financial fraud detection practices. We analyze the new features of fraud risk caused by the pandemic and review the development of data types used in fraud detection practices from quantitative tabular data to various unstructured data. The evolution of methods in financial fraud detection is summarized, and the emerging Graph Neural Network methods in the post-pandemic era are discussed in particular. Finally, some of the key challenges and potential directions are proposed to provide inspiring information on intelligent financial fraud detection in the future.","Hassan2019_PRisk","https://openalex.org/W3206093631","review"
"Firm‐Level Climate Change Risk and CEO Equity Incentives","Ashrafee T Hossain; Abdullah Al Masum; Samir Saadi; Ramzi Benkraiem; Nirmol Chandra Das","2022","British Journal of Management","178","True","https://hal.science/hal-04434397/document","https://doi.org/10.1111/1467-8551.12652","Abstract We document evidence that CEOs who lead firms that face higher climate change risk (CCR) receive higher equity‐based compensation. Our finding is consistent with the compensating wedge differential theory and survives numerous robustness and endogeneity tests. The result is more prominent for firms that are socially responsible, susceptible to higher environmental litigation and part of the non‐high‐tech industries. Furthermore, we find supportive evidence that firms offering higher equity incentives to their CEOs for managing higher CCR are usually better off in the long run via a lower cost of equity capital and higher firm valuation.","Hassan2019_PRisk","https://openalex.org/W4294292687","article"
"Text Algorithms in Economics","Elliott Ash; Stephen Hansen","2023","Annual Review of Economics","161","True","https://www.annualreviews.org/doi/pdf/10.1146/annurev-economics-082222-074352","https://doi.org/10.1146/annurev-economics-082222-074352","This article provides an overview of the methods used for algorithmic text analysis in economics, with a focus on three key contributions. First, we introduce methods for representing documents as high-dimensional count vectors over vocabulary terms, for representing words as vectors, and for representing word sequences as embedding vectors. Second, we define four core empirical tasks that encompass most text-as-data research in economics and enumerate the various approaches that have been taken so far to accomplish these tasks. Finally, we flag limitations in the current literature, with a focus on the challenge of validating algorithmic output.","Hassan2019_PRisk","https://openalex.org/W4383198328","article"
"Environmental uncertainty, financing constraints and corporate investment: Evidence from China","Kaifeng Li; Bobo Xia; Yun Chen; Ning Ding; Jie Wang","2021","Pacific-Basin Finance Journal","154","False","","https://doi.org/10.1016/j.pacfin.2021.101665","","Hassan2019_PRisk","https://openalex.org/W3207193291","article"
"From fiction to fact: the growing role of generative AI in business and finance","Boyang Chen; Zongxiao Wu; Ruoran Zhao","2023","Journal of Chinese Economic and Business Studies","151","True","https://www.research.ed.ac.uk/en/publications/b24823ff-b68e-468f-9ce4-f33384705a58","https://doi.org/10.1080/14765284.2023.2245279","Generative Artificial Intelligence (AI), such as ChatGPT by OpenAI, has revolutionized the business world, with benefits including improved accessibility, efficiency, and cost reduction. This article reviews recent developments of generative AI in business and finance, summarizes its practical applications, provides examples of the latest generative AI tools, and demonstrates that generative AI can revolutionize data analysis in industry and academia. To test the ability of generative AI to support decision-making in financial markets, we use the ChatGPT to capture corporate sentiments towards environmental policy by inputting text extracted from corporate financial statements. Our results demonstrate that the sentiment scores generated by ChatGPT can predict firms’ risk-management capabilities and stock return performance. This study also highlights the potential challenges and limitations associated with generative AI. Finally, we propose several questions for future research at the intersection of generative AI with business and finance.","Hassan2019_PRisk","https://openalex.org/W4385738962","article"
"Political Uncertainty and Accounting Conservatism","Lili Dai; Phong T. H. Ngo","2020","European Accounting Review","143","True","http://hdl.handle.net/1959.4/unsworks_67410","https://doi.org/10.1080/09638180.2020.1760117","Political uncertainty leads to greater information asymmetry among contracting parties to the firm, resulting in an increased demand for accounting conservatism. Exploiting the exogenous variation in political uncertainty induced by the U.S. gubernatorial election cycle over the period 1963–2016, we find that the asymmetric timeliness of news recognition increases with political uncertainty. Our political uncertainty hypothesis operates through the contracting demand channel. Accordingly, we find that the political uncertainty effect is more pronounced for firms in states with lower electoral participation, for firms with greater industry exposures to contracting needs, for firms with higher leverage and lower managerial ownership, and for firms with stronger internal corporate governance mechanisms.","Hassan2019_PRisk","https://openalex.org/W3123475946","article"
"Does corporate social responsibility help mitigate firm-level climate change risk?","Ashrafee T Hossain; Abdullah Al Masum","2022","Finance research letters","136","False","","https://doi.org/10.1016/j.frl.2022.102791","","Hassan2019_PRisk","https://openalex.org/W4220878506","article"
"State-level economic policy uncertainty","Scott Baker; Steven J. Davis; Jeffrey A. Levy","2022","Journal of Monetary Economics","136","True","https://doi.org/10.1016/j.jmoneco.2022.08.004","https://doi.org/10.1016/j.jmoneco.2022.08.004","We quantify and study state-level economic policy uncertainty. Tapping digital archives for nearly 3500 local newspapers, we construct three monthly indexes for each state: one that captures state and local sources of policy uncertainty (EPU−S), one that captures national and international sources (EPU−N), and a composite index that captures both. EPU−S rises around gubernatorial elections and own-state episodes like the California electricity crisis of 2000–01 and the Kansas tax experiment of 2012. EPU−N rises around presidential elections and in response to 9–11, Gulf Wars I and II, the 2011 debt-ceiling crisis, the 2012 fiscal cliff episode, and federal government shutdowns. Close elections elevate policy uncertainty much more than the average election. VAR models fit to pre-COVID data imply that upward shocks to own-state EPU foreshadow weaker economic performance in the state, as do upward EPU shocks in contiguous states. The COVID-19 pandemic drove huge increases in policy uncertainty and unemployment, more so in states with stricter government-mandated lockdowns.","Hassan2019_PRisk","https://openalex.org/W4294001153","article"
"Firm-Level Exposure to Epidemic Diseases: COVID-19, SARS, and H1N1","Tarek A. Hassan; Stephan Hollander; Laurence van Lent; Markus Schwedeler; Ahmed Tahoun","2023","Review of Financial Studies","134","False","","https://doi.org/10.1093/rfs/hhad044","Abstract We construct text-based measures of the primary concerns listed firms associated with the spread of COVID-19 and other epidemic diseases. We identify which firms perceive to lose or gain from a given epidemic and textually decompose the epidemic’s effect on the firm’s demand and supply. We find that the effects of COVID-19 manifest as a simultaneous shock to demand and supply, with both shocks affecting firms’ market valuations in equal measure on average. By contrast, demand-related impacts appear more important in accounting for the observed collapse in firm-level investment during the COVID-19 crisis. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online","Hassan2019_PRisk","https://openalex.org/W3122021504","article"
"Trade Policy Uncertainty","Kyle Handley; Nuno Limão","2022","Annual Review of Economics","133","True","https://www.annualreviews.org/doi/pdf/10.1146/annurev-economics-021622-020416","https://doi.org/10.1146/annurev-economics-021622-020416","Trade policy uncertainty (TPU) has become an important source of economic uncertainty and research. We review the main sources and measures of TPU. We then provide a conceptual framework for modeling TPU and methods for estimating and quantifying its effects. We analyze its role in trade agreements and discuss open questions for future research.","Hassan2019_PRisk","https://openalex.org/W4290960243","article"
"Digital transformation of commercial banks in China: Measurement, progress and impact","Xuanli Xie; Shihui Wang","2023","China Economic Quarterly International","132","True","https://doi.org/10.1016/j.ceqi.2023.03.002","https://doi.org/10.1016/j.ceqi.2023.03.002","Nowadays, digital transformation has become an urgent strategic task for traditional commercial banks. Due to the lack of measurement of banks’ digital transformation, whether digital transformation could enhance the competitiveness of banks is still inconclusive. In this paper, we construct an index system to measure digital transformation of banks from three dimensions: strategy transformation, business transformation and management transformation. Using data from Chinese commercial banks, this paper measures the progress of digital transformation of banks in China. The empirical results show that digital transformation can improve bank performance, reduce the negative impact of new technology entrants, and promote the exit of offline channels.","Hassan2019_PRisk","https://openalex.org/W4327977692","article"
"Global Supply Chains: The Looming “Great Reallocation”","Laura Alfaro; Davin Chor","2023","National Bureau of Economic Research","125","True","https://doi.org/10.3386/w31661","https://doi.org/10.3386/w31661","Global supply chains have come under unprecedented stress as a result of US-China trade tensions, the Covid-19 pandemic, and geopolitical shocks. We document shifts in the pattern of US participation in global value chains over the last four decades, in terms of partner countries, products, and modes, with a focus on the last five years (2017-2022). The available data point to a looming “great reallocation” in supply chain activity: Direct US sourcing from China has decreased, with low-wage locations (principally: Vietnam) and nearshoring/friendshoring alternatives (notably: Mexico) gaining in import share. The production line positioning of the US’ imports has also become more upstream, which is indicative of some reshoring of production stages. We sound several cautionary notes over the policies that have set this reallocation in motion: It is unclear if these measures will reduce US dependence on supply chains linked to China, and there are moreover already signs that prices of imports from Vietnam and Mexico are on the rise.","Hassan2019_PRisk","https://openalex.org/W4386616944","report"
"Political corruption and corporate payouts","Ashrafee T Hossain; Takdir Hossain; Lawrence Kryzanowski","2020","Journal of Banking & Finance","124","False","","https://doi.org/10.1016/j.jbankfin.2020.106016","","Hassan2019_PRisk","https://openalex.org/W3106822831","article"
"Surveying business uncertainty","David Altig; Jose Maria Barrero; Nicholas Bloom; Steven J. Davis; Brent Meyer; Nicholas Parker","2020","Journal of Econometrics","114","False","","https://doi.org/10.1016/j.jeconom.2020.03.021","","Hassan2019_PRisk","https://openalex.org/W2953314559","article"
"How does corporate R&amp;D investment respond to climate policy uncertainty? Evidence from heavy emitter firms in the United States","Khánh Hoàng","2022","Corporate Social Responsibility and Environmental Management","112","False","","https://doi.org/10.1002/csr.2246","Abstract This study explores how climate policy uncertainty (CPU) affects research and development (R&amp;D) investment of heavy emitter firms in the United States during 2000–2019. Our empirical evidence indicates that while CPU exerts a positive impact on R&amp;D investment of general firms, it seems to be a completely different story for heavy emitter firms. After a battery of sensitivity tests, we find a robust negative impact of CPU on R&amp;D investment of heavy emitters, suggesting that those firms play a “wait‐and‐see” strategy in response to changes in environmental policies until more is known to make decisions. However, such behavior is not observed in light emitters. Even among heavy emitters, we show that the impact of CPU is only pronounced in heavy emitters with more technology uncertainty. Further analyses show such an impact varies with management sentiment, managerial ability, and firm maturity. Our findings have implications for policymaking and corporate strategy of heavy emitters in response to CPU.","Hassan2019_PRisk","https://openalex.org/W4210697100","article"
"Subjective perception of economic policy uncertainty and corporate social responsibility: Evidence from China","Jing Li; Huihua Nie; Rui Ruan; Xinyi Shen","2023","International Review of Financial Analysis","110","False","","https://doi.org/10.1016/j.irfa.2023.103022","","Hassan2019_PRisk","https://openalex.org/W4388195736","article"
"Responses of FDI to geopolitical risks: The role of governance, information, and technology","Adrien Bussy; Huanhuan Zheng","2023","International Business Review","108","True","https://doi.org/10.1016/j.ibusrev.2023.102136","https://doi.org/10.1016/j.ibusrev.2023.102136","We show that rising geopolitical risk and geopolitical uncertainty (GPR) deter foreign direct investment (FDI). We further explore the role of governance, information, and technology in shaping the responses of FDI to GPR and document three main findings. First, effective governance in the destination market safeguards FDI against GPR. Second, multinational corporations with better information gained from closer geographic, cultural, and commercial ties choose to delay FDI in response to rising GPR instead of managing it. Third, FDI in more R&D-intensive industries is more resilient to GPR because intangible technology can more easily be transferred across borders.","Hassan2019_PRisk","https://openalex.org/W4366572513","article"
"Firm-level Climate Change Exposure","Zacharias Sautner; Laurence van Lent; Grigory Vilkov; Ruishen Zhang","2020","SSRN Electronic Journal","108","True","https://doi.org/10.2139/ssrn.3642508","https://doi.org/10.2139/ssrn.3642508","","Hassan2019_PRisk","https://openalex.org/W4253267298","article"
"Investing in friends: The role of geopolitical alignment in FDI flows","Shekhar Aiyar; Davide Malacrino; Andrea Presbitero","2024","European Journal of Political Economy","105","False","","https://doi.org/10.1016/j.ejpoleco.2024.102508","","Hassan2019_PRisk","https://openalex.org/W4391888931","article"
"Policy Uncertainty and Customer Concentration","Woon Sau Leung; Jiong Sun","2020","Production and Operations Management","104","True","https://www.research.ed.ac.uk/files/180839744/LeungSunPOM2020PolicyUncertainty.pdf","https://doi.org/10.1111/poms.13335","Using data involving customer–supplier relationships and a large sample of US publicly listed firms, our study documents a negative and statistically significant relationship between economic policy uncertainty and firms’ customer‐base concentration. The negative relation is predominant in firms with higher inventory efficiency and those operating in competitive, high‐R&amp;D, and nondurable industries. Customer‐base diversification is further shown to enhance firm performance during periods of increasing policy uncertainty, but not when policy uncertainty decreases. Overall, our evidence suggests that firms respond to increasing policy uncertainty by diversifying their customer base and such behavior contributes positively to firm performance.","Hassan2019_PRisk","https://openalex.org/W3111319236","article"
"The Implications of Firm‐Specific Policy Risk, Policy Uncertainty, and Industry Factors for Inventory: A Resource Dependence Perspective","Jessica L. Darby; David J. Ketchen; Brent D. Williams; Travis Tokar","2020","Journal of Supply Chain Management","103","False","","https://doi.org/10.1111/jscm.12229","The risk created by government policymaking can be daunting, but little is known about the extent to which this risk is disruptive to business in general and to supply chain operations in particular. Because government is a powerful and omnipresent entity, scholars and executives alike could benefit from greater understanding of how firms react to risk emanating from the policymaking process. To help address this gap, we use resource dependence theory to develop hypotheses concerning the accumulation of inventory by firms to buffer against their exposure to potential policy changes and how such a link might be moderated by macro‐level and industry‐level factors. Data from 19,634 firm‐year observations reveal that firms accumulate more inventory as a buffer against policy risk under conditions of high policy uncertainty and high industry dynamism. Overall, our findings support the predictions of resource dependence theory and refine understanding of supply chain responses to macro‐level uncertainty by demonstrating the contingent influence of government policy. In doing so, our study provides a foundation for future research to explore the intersections between government actions and supply chain activities and offers insights for managers and policymakers about how to factor government into their decision calculi.","Hassan2019_PRisk","https://openalex.org/W3020754429","article"
"COVID-19 and the Cross-Section of Equity Returns: Impact and Transmission","Lorenzo Bretscher; Alex Hsu; Peter Simasek; Andrea Tamoni","2020","The Review of Asset Pricing Studies","103","True","https://academic.oup.com/raps/article-pdf/10/4/705/34416900/raaa017.pdf","https://doi.org/10.1093/rapstu/raaa017","Abstract Using the first reported case of COVID-19 in a given U.S. county as the event day, we find that firms headquartered in an affected county experience, on average, a 27-bps lower return in the 10-day post-event window. This negative effect nearly doubles in magnitude for firms in counties with a higher infection rate (−50 bps). We test a number of transmission channels. Firms belonging to labor-intensive industries and those located in counties with a large mobility decline have worse stock performance. Firms sensitive to COVID-19-induced uncertainty also exhibit more negative returns. Finally, more negative stock returns are associated with downward revisions in earnings forecasts.","Hassan2019_PRisk","https://openalex.org/W3040715873","article"
"Regulatory Intensity and Firm-Specific Exposure","Joseph Kalmenovitz","2023","Review of Financial Studies","100","False","","https://doi.org/10.1093/rfs/hhad001","Abstract Building on administrative data and machine-learning models, I develop a firm-specific measure of regulatory intensity: cost of compliance with all federal paperwork regulations. Regulatory intensity increases the cost of goods sold and overhead spending (SGA). It also incentivizes companies to reduce capital investment, hire fewer employees, and lobby more. The effects are particularly strong among financially constrained firms and those with irreversible investment opportunities, suggesting that regulation affects companies through budgetary pressures and heightened uncertainty. The findings highlight the real effects of regulation and the underlying mechanisms. Authors have furnished an Internet Appendix, which is available on the Oxford University Press Web site next to the link to the final published paper online.","Hassan2019_PRisk","https://openalex.org/W4313800422","article"
"Global syndicated lending during the COVID-19 pandemic","Iftekhar Hasan; Panagiotis N. Politsidis; Zenu Sharma","2021","Journal of Banking & Finance","99","True","https://www.ncbi.nlm.nih.gov/pmc/articles/8843416","https://doi.org/10.1016/j.jbankfin.2021.106121","","Hassan2019_PRisk","https://openalex.org/W3139303599","article"
