sentence_id,slide,sentence_number,spoken_sentence,classification,claim_bearing,source_basis,support_status,finding_id,audit_note
5.10,5,10,That is the cell this thesis occupies.,interpretation,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.11,5,11,"I say to our knowledge, and I mean it as written.",limitation,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.12,5,12,"It is a claim about what I searched, not a claim that nothing exists.",limitation,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.13,5,13,The contribution is narrow on purpose.,interpretation,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.14,5,14,"One measure, one window, one comparison.",interpretation,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.1,6,1,Where the evidence comes from.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
6.2,6,2,"The starting panel is 88,205 earnings calls from 1,884 United States public firms, running from 2002 to 2018.",number,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
6.3,6,3,Financial firms and utilities are excluded.,thesis_fact,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.4,6,4,"Then it narrows, and the reason matters.",transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
6.5,6,5,The outcome I need is not something the transcript records directly.,thesis_fact,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.6,6,6,"I have to build it, and building it takes repeated calls from the same chief executive.",thesis_fact,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.7,6,7,So I need to know who is speaking.,thesis_fact,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.8,6,8,I also need enough calls from that person to model how they normally speak.,thesis_fact,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.9,6,9,Anyone with fewer than five calls drops out.,thesis_fact,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.10,6,10,Executive compensation coverage and the inputs the measure needs narrow it further.,thesis_fact,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.11,6,11,"The focal test runs on 27,622 firm-quarters, which is one firm observed in one quarter, across 1,248 firms.",number,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
6.12,6,12,Be straight about what that selection does.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
6.13,6,13,"What survives tilts toward larger, better-covered firms with stable leadership.",limitation,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,EXCEEDS_SUPPORT,U10-F06,"U10-F06: “Stable leadership” is not an established sample characteristic. The five-call rule establishes repeated observations for a CEO, not a validated construct of leadership stability."
6.14,6,14,"So when I say this describes United States public firms, I mean a particular slice of them.",limitation,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
6.15,6,15,The smallest firms are not in here at all.,limitation,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,EXCEEDS_SUPPORT,U10-F07,"U10-F07: The categorical statement that the smallest firms are entirely absent is not demonstrated by the thesis. Execucomp coverage is described as roughly the S&P 1500, and the thesis states a generalizability boundary rather than a verified zero count for every smallest-firm category."
6.16,6,16,"That is a limit on who these results describe, and I would rather state it now than defend it later.",limitation,true,thesis_flat.tex sample construction/limitations and rev22_slide_text.md slide 6,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.1,7,1,"The measure, because everything downstream depends on it.",transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
7.2,7,2,Start with the raw version.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
7.3,7,3,Take the chief executive's answers in the question-and-answer section.,slide_explanation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.4,7,4,Count the share of words drawn from a fixed list of uncertainty terms.,slide_explanation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.5,7,5,That is a blunt count.,thesis_fact,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.6,7,6,The problem is that people differ.,interpretation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,EXCEEDS_SUPPORT,U10-F08,"U10-F08: The sentence creates a false dichotomy: persistent speaking style can affect the word count, but the thesis does not establish that such variation is purely personality and contains no information."
7.7,7,7,Some executives always hedge.,interpretation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.8,7,8,"That is personality, not information.",transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
7.9,7,9,"If I compare across people, I am mostly measuring personality.",interpretation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,EXCEEDS_SUPPORT,U10-F09,"U10-F09: “Mostly” is a quantitative dominance claim that the thesis does not estimate here. The comparison would mix persistent style with call-specific variation, but the share attributable to each is not established in the talk."
7.10,7,10,So I remove the predictable part.,slide_explanation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.11,7,11,Residualization is removing what a model can already explain.,slide_explanation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.12,7,12,What remains is the residual: the part of this call's uncertainty that the speaker's usual style does not account for.,slide_explanation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,EXCEEDS_SUPPORT,U10-F10,"U10-F10: The definition makes the residual sound style-only. The first-stage residual also removes prepared-presentation uncertainty, analyst-question uncertainty, call negativity, firm-performance variables, market returns, and year effects. Since the slide says everything downstream depends on the measure, this omission materially misdefines the estimand."
7.13,7,13,Three things this is not.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
7.14,7,14,It is not raw uncertainty.,limitation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.15,7,15,It is not a window into what the chief executive privately knows.,limitation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.16,7,16,And it is a built outcome rather than an observed one.,limitation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.17,7,17,"That two-step construction leaves extra uncertainty in the statistics, and I carry that as a limitation.",limitation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
7.18,7,18,"What it is: a proxy for how uncertain this particular call sounded, once the speaker's own baseline is taken out.",slide_explanation,true,thesis_flat.tex main-variable construction and rev22_slide_text.md slide 7,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.1,8,1,The first result.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
8.2,8,2,"In the quarter before a cash acquisition is announced, residual uncertainty in the chief executive's answers goes up.",result,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.3,8,3,"The coefficient, which is the estimated size of that shift, is plus 0.0461.",number,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
8.4,8,4,"Its standard error is 0.0172, and the standard error is how uncertain the estimate itself is.",number,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
8.5,8,5,"The two-tailed p-value is 0.0074, which tests departures in either direction.",number,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
8.6,8,6,"In plain terms, if there were no shift at all, a result this size or larger would turn up in well under one percent of samples.",slide_explanation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.7,8,7,"Now the part that actually matters, which is how big this is.",transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
8.8,8,8,The usual spread of this measure across calls is 0.301.,number,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
8.9,8,9,"Against that, the shift is about 15.3 percent of one standard deviation.",number,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
8.10,8,10,So it is not a dramatic effect.,interpretation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.11,8,11,"It is a modest, statistically clear shift.",interpretation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.12,8,12,One caution on the bar you can see on the slide.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
8.13,8,13,"That is an approximate 95 percent range, and a confidence interval is a plausible range around the estimate.",slide_explanation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.14,8,14,"The slide says derived, and it means it.",slide_explanation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.15,8,15,I computed it from the estimate and its standard error.,slide_explanation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.16,8,16,"The thesis prints the estimate and the standard error, not the range.",thesis_fact,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.17,8,17,"The sample is 27,622 firm-quarters from 1,248 firms.",number,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Semantic framing checked; numeral trace accepted from the supplied deterministic gate.
8.18,8,18,"Standard errors are grouped by firm, because one firm's calls are not independent of each other.",slide_explanation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.19,8,19,And note what the comparison is.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
8.20,8,20,"It is the same firm in its own other quarters, not this firm against other firms.",slide_explanation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.21,8,21,"That matters, because executives differ enormously in how they speak.",interpretation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.22,8,22,The framing stays descriptive.,limitation,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
8.23,8,23,This is a within-firm pattern in language before an announcement.,result,true,"thesis_flat.tex MA1, thesis_tables.tex, and rev22_slide_text.md slide 8",WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
